,crop,District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),jan,feb,march,april,may,june,july,august,sept,oct,nov,dec
0,Arhar/Tur,Ahmadabad, 2014-15,Kharif     ,701.0,763,1.09,0.0,0.0,0.0,0.0,0.0,0.4,0.57,1.01,1.01,0.99,0.0,0.0
1,Bajra,Ahmadabad, 2014-15,Kharif     ,1825.0,2160,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.42,0.73,0.42,0.0,0.0
2,Castor seed,Ahmadabad, 2014-15,Kharif     ,47635.0,76488,1.61,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.35,0.35,1.15,1.15,0.55
3,Cotton(lint),Ahmadabad, 2014-15,Kharif     ,159044.0,266317,1.67,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.35,1.15,1.15,1.15,0.5
4,Groundnut,Ahmadabad, 2014-15,Kharif     ,74.0,150,2.03,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.15,1.15,0.6,0.0,0.0
5,Moong(Green Gram),Ahmadabad, 2014-15,Kharif     ,430.0,213,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.05,1.05,0.6,0.0,0.0
6,Moth,Ahmadabad, 2014-15,Kharif     ,970.0,713,0.74,0.0,0.0,0.0,0.0,0.0,0.4,1.15,1.15,0.35,0.0,0.0,0.0
7,Other Cereals,Ahmadabad, 2014-15,Kharif     ,50.0,28,0.56,0.0,0.0,0.0,0.0,0.0,0.3,1.15,1.15,0.4,0.0,0.0,0.0
8,Other Kharif pulses,Ahmadabad, 2014-15,Kharif     ,2640.0,1180,0.45,0.0,0.0,0.0,0.0,0.0,0.4,1.25,1.25,0.75,0.0,0.0,0.0
9,Rice,Ahmadabad, 2014-15,Kharif     ,116904.0,305692,2.61,0.0,0.0,0.0,0.0,0.0,0.0,1.05,1.05,1.2,1.2,0.9,0.0
10,Sesamum,Ahmadabad, 2014-15,Kharif     ,491.0,292,0.59,0.0,0.0,0.0,0.0,0.0,0.38,0.73,0.73,0.98,0.63,0.0,0.0
11,Urad,Ahmadabad, 2014-15,Kharif     ,15.0,11,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.13,0.4,0.0,0.0
12,Gram (channa),Ahmadabad, 2014-15,Rabi       ,23172.0,19476,0.84,1.05,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.05
13,Rapeseed &Mustard,Ahmadabad, 2014-15,Rabi       ,593.0,1079,1.82,1.28,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,1.28
